CD,Year,Target_Presidential_R,Target_Presidential_D,Previous_Presidential_D,Previous_Presidential_R
AK-AL,2016,52.8,37.6,41.2,55.3
AL-01,2016,63.5,34.1,37.4,61.8
AL-02,2016,64.9,33.0,36.4,62.9
AL-03,2016,65.3,32.3,36.8,62.3
AL-04,2016,80.4,17.4,24.0,74.8
AL-05,2016,64.7,31.3,34.9,63.9
AL-06,2016,70.8,26.1,24.7,74.3
AL-07,2016,28.6,69.8,72.4,27.1
AR-01,2016,65.0,30.2,36.3,61.0
AR-02,2016,52.4,41.7,42.9,54.7
AR-03,2016,61.9,30.5,31.6,65.5
AR-04,2016,64.2,31.3,35.9,61.8
AZ-01,2016,47.7,46.6,47.9,50.4
AZ-02,2016,44.7,49.6,48.4,49.9
AZ-03,2016,32.5,62.4,61.4,36.9
AZ-04,2016,67.7,27.5,31.0,67.2
AZ-05,2016,57.6,36.5,34.6,63.8
AZ-06,2016,52.4,42.4,38.8,59.5
AZ-07,2016,22.6,71.8,71.7,26.5
AZ-08,2016,58.1,37.0,36.9,61.7
AZ-09,2016,38.4,54.7,51.1,46.6
CA-01,2016,56.2,36.5,40.3,56.6
CA-02,2016,23.3,69.0,69.0,27.0
CA-03,2016,40.4,53.0,54.3,43.1
CA-04,2016,54.0,39.3,39.5,57.9
CA-05,2016,24.3,69.2,69.7,27.5
CA-06,2016,24.4,69.2,69.1,28.3
CA-07,2016,40.9,52.3,50.8,46.8
CA-08,2016,54.7,39.6,41.7,55.6
CA-09,2016,38.0,56.6,57.8,40.1
CA-10,2016,45.5,48.5,50.6,47.0
CA-11,2016,22.7,71.5,67.6,30.0
CA-12,2016,8.7,86.2,84.1,12.5
CA-13,2016,6.8,87.4,87.5,9.0
CA-14,2016,18.2,76.9,74.2,23.6
CA-15,2016,24.2,69.9,68.0,29.8
CA-16,2016,36.4,58.0,58.6,39.4
CA-17,2016,20.5,73.9,71.9,25.5
CA-18,2016,20.2,73.4,68.2,28.9
CA-19,2016,21.5,72.9,71.2,26.5
CA-20,2016,23.2,70.4,70.9,26.2
CA-21,2016,39.7,55.2,54.6,43.5
CA-22,2016,52.1,42.6,41.6,56.6
CA-23,2016,58.1,36.1,36.1,61.5
CA-24,2016,36.5,56.7,54.1,43.1
CA-25,2016,43.6,50.3,47.9,49.7
CA-26,2016,36.0,57.9,54.0,43.7
CA-27,2016,28.4,66.0,62.6,35.0
CA-28,2016,22.3,72.1,70.3,26.5
CA-29,2016,16.8,77.7,77.0,20.5
CA-30,2016,25.7,69.1,65.3,32.1
CA-31,2016,36.6,57.7,57.2,40.6
CA-32,2016,27.7,66.6,65.2,32.5
CA-33,2016,26.5,67.8,60.6,36.8
CA-34,2016,10.7,83.6,83.0,14.1
CA-35,2016,26.9,67.7,67.4,30.6
CA-36,2016,43.4,52.2,50.7,47.5
CA-37,2016,9.6,85.7,84.9,12.7
CA-38,2016,27.4,67.0,64.9,33.0
CA-39,2016,42.9,51.5,47.1,50.8
CA-40,2016,12.8,82.2,81.5,16.5
CA-41,2016,33.1,61.0,61.5,36.3
CA-42,2016,53.4,41.4,41.4,56.5
CA-43,2016,16.7,78.4,78.0,20.0
CA-44,2016,12.3,83.0,84.7,13.6
CA-45,2016,44.4,49.8,43.0,54.8
CA-46,2016,27.9,66.3,61.4,36.2
CA-47,2016,31.0,62.6,60.0,37.5
CA-48,2016,46.2,47.9,43.0,54.7
CA-49,2016,43.2,50.7,45.7,52.2
CA-50,2016,54.6,39.6,37.6,60.4
CA-51,2016,22.8,71.8,69.4,28.9
CA-52,2016,35.6,58.1,52.1,45.7
CA-53,2016,29.6,64.5,61.4,36.4
CO-01,2016,23.2,69.0,69.0,28.8
CO-02,2016,34.9,56.2,57.9,39.5
CO-03,2016,52.0,40.0,45.8,51.8
CO-04,2016,57.4,34.3,39.2,58.5
CO-05,2016,57.2,33.2,38.3,59.1
CO-06,2016,41.3,50.2,51.6,46.5
CO-07,2016,39.4,51.4,56.1,41.3
CT-01,2016,36.3,59.4,63.3,35.6
CT-02,2016,45.8,48.7,55.9,42.6
CT-03,2016,40.4,55.9,62.6,36.3
CT-04,2016,36.6,59.6,55.1,44.0
CT-05,2016,45.8,49.9,53.5,45.3
DE-AL,2016,41.9,53.4,58.6,40.0
FL-01,2016,67.5,28.2,30.1,68.5
FL-02,2016,66.2,30.6,34.0,64.6
FL-03,2016,56.2,40.2,41.9,56.6
FL-04,2016,62.1,34.1,32.8,66.1
FL-05,2016,35.9,61.3,63.6,35.4
FL-06,2016,56.9,39.9,46.6,52.2
FL-07,2016,44.1,51.4,49.4,49.4
FL-08,2016,58.4,37.7,42.1,56.6
FL-09,2016,41.9,54.8,55.6,43.4
FL-10,2016,34.9,61.8,60.7,38.4
FL-11,2016,64.8,32.5,39.8,59.2
FL-12,2016,57.4,38.8,45.5,53.0
