Total_Pop,Total_Males,Total_Females,Median_Age,Total_Veterans,Total_White_People,Total_Afr_Am_People,Total_Asian,Total_American_Ind_Alk_Ntv,Total_Cuban_Origin,Total_Puerto_Rican_Origin,Total_Dominican_Origin,Total_Mexican_Origin,Total_Native_US,Total_Non_Citizens,Total_Foreign_Born,Total_Children,Total_Married_Households,Total_Less_Highschool,Total_Bachelor_Holders,Total_STEM,Total_Business_Degree,Total_Labor_Force_Eligible,Total_Employed,Total_Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Total_Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Total_Workers,Total_Working_Agricult,Total_Working_Construction,Total_Working_Manufacturing,Total_Working_Retail,Total_Working_Transportation,Total_Working_Finance,Total_Working_Education,Total_Working_Health,Total_Working_Food,Total_Working_Public_Admin,Total_Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State,CD_Id_Year,Previous_Presidential_D,Previous_Presidential_R,Target_Presidential_D,Target_Presidential_R
761778,368300,393478,40.0,35188,506183,91797,74832,2908,3075,6255,3586,12508,563902,91390,183796,169491,150035,49781,133752,23180,45870,427605,408019,19586,95314,42293,59403,47162,0.4704,42.2,409051,1927,26683,14530,31076,11727,26345,41536,47765,27220,46484,11334,1622,"Congressional District 8 (114th Congress), Maryland",24,08,MD,MD-08-2016,62.0,36.0,65.0,30.6
736190,354793,381397,41.0,45064,626968,46172,14655,1892,841,101720,6319,6888,628329,26282,57114,153349,123421,60715,87258,16395,26239,372081,346235,25846,53918,26621,106391,12500,0.4663,41.8,354532,2971,16531,39349,44817,15137,25056,40349,65798,24188,13941,6830,868,"Congressional District 1 (114th Congress), Massachusetts",25,01,MA,MA-01-2016,64.0,34.3,57.2,36.5
744886,363964,380922,39.1,42944,625647,39694,39563,1766,1190,38990,6888,4352,636772,42849,84776,149859,126550,49240,105556,16436,32302,387973,363332,24641,62448,29572,97084,18846,0.4674,40.6,376154,2107,18137,41496,44506,14224,22773,55213,63108,26636,12590,8010,1013,"Congressional District 2 (114th Congress), Massachusetts",25,02,MA,MA-02-2016,58.7,39.2,56.2,36.8
754068,372202,381866,39.0,37037,587198,25736,65457,1391,693,61172,49478,8712,591232,65727,131171,174471,133841,57889,107278,15685,37310,400927,377752,23175,72570,32062,83115,25763,0.4625,42.2,380104,1216,21457,53462,36675,12074,19283,38894,57824,27290,13154,10411,1085,"Congressional District 3 (114th Congress), Massachusetts",25,03,MA,MA-03-2016,56.9,41.4,58.2,35.4
750331,364844,385487,40.9,31741,652907,21406,44196,256,2405,11763,3068,4714,641348,41678,97597,171170,149677,36579,132924,19899,48281,399110,377922,21188,90913,40327,50328,43593,0.4813,42.7,384820,590,20123,35095,38482,13595,35205,46855,64504,18434,12607,9701,1221,"Congressional District 4 (114th Congress), Massachusetts",25,04,MA,MA-04-2016,57.2,41.3,59.2,35.0
765922,369981,395941,39.5,26436,598090,37888,83781,1610,1860,13410,2510,7031,572310,87035,180644,151822,149400,37294,145372,22735,52492,425830,409130,16700,86183,41066,57461,46638,0.4794,40.2,420772,674,21504,32591,35314,13358,32068,59621,64061,26594,13422,14328,1472,"Congressional District 5 (114th Congress), Massachusetts",25,05,MA,MA-05-2016,65.2,33.1,69.3,25.7
761166,368484,392682,42.1,40223,649968,25920,31281,1151,637,11921,25237,3094,656364,42756,93842,160418,150225,39927,132535,21365,47384,412608,392467,20141,80638,35796,63016,33976,0.4641,42.4,396996,821,23646,38574,42037,12491,28170,40258,61578,28295,15899,9515,1195,"Congressional District 6 (114th Congress), Massachusetts",25,06,MA,MA-06-2016,54.7,43.9,56.1,38.2
777588,376951,400637,31.7,19725,389836,206372,78533,1226,2344,44132,30231,8687,499810,133469,251668,130667,81630,83049,117449,18205,40288,438454,410738,27716,56719,28628,137743,21983,0.5256,32.4,431279,483,16939,22850,38760,17021,31116,60628,74883,41100,13330,10842,1411,"Congressional District 7 (114th Congress), Massachusetts",25,07,MA,MA-07-2016,82.5,15.6,84.1,11.9
764789,368018,396771,39.0,34142,589801,73099,60240,429,1734,14558,6282,3886,624536,52946,128374,154072,131073,40519,149674,20644,59021,435859,411602,24257,79789,37973,79416,31963,0.4711,39.6,414702,1208,21180,25302,43967,18210,42470,41422,70985,28305,16685,9543,1329,"Congressional District 8 (114th Congress), Massachusetts",25,08,MA,MA-08-2016,57.8,40.8,60.4,34.4
739482,358147,381335,45.6,50678,652823,23070,13033,942,241,19476,2851,3222,656981,30446,70767,141366,142897,54137,108669,18145,35040,384982,360023,24959,63532,30664,77517,20251,0.4767,43.7,362844,3513,31161,28498,50011,13732,23847,27942,56870,30107,16904,5745,927,"Congressional District 9 (114th Congress), Massachusetts",25,09,MA,MA-09-2016,55.5,43.1,52.5,41.8
