Total_Males,Total_Females,Median_Age,Total_Pop,Total_White_People,Total_Afr_Am_People,Total_American_Ind_Alk_Ntv,Total_Asian,Total_Native_US,Total_Non_Citizens,Total_Foreign_Born,Total_Less_Highschool,Total_Bachelor_Holders,Median_Income,Total_Children,Total_Married_Households,Total_STEM,Total_Business_Degree,Below_Poverty_Level_LTM,Total_Wealthy_Households,Median_Household_Income,Gini_Index,Total_Veterans,Median_Age_Of_Worker,Total_Workers,Total_Working_Agricult,Total_Working_Construction,Total_Working_Manufacturing,Total_Working_Retail,Total_Working_Transportation,Total_Working_Information,Total_Working_Finance,Total_Working_Education,Total_Working_Health,Total_Working_Food,Total_Working_Public_Admin,Median_Gross_Rent,Total_Labor_Force_Eligible,Total_Employed,Total_Unemployed,Total_Mexican_Origin,Total_Puerto_Rican_Origin,Total_Cuban_Origin,Total_Dominican_Origin,District_Name,CD,State_Id,State,CD_Id_Year,Previous_Presidential_D,Previous_Presidential_R,Target_Presidential_D,Target_Presidential_R
341326,370110,41.0,711436,497769,110721,2917,34271,564110,51998,114085,54796,106398,35421,147905,127785,17383,34714,74486,22506,69959,0.4569,31058,41.8,361863,961,18557,38501,36234,16206,9199,40602,36147,61614,18438,17193,1032,387730,360565,27165,4916,76479,3134,9107,"Congressional District 1 (114th Congress), Connecticut",01,09,CT,CT-01-2016,63.3,35.6,59.4,36.3
356636,353011,41.4,709647,605885,29651,2989,22990,643287,22962,48753,39586,97561,34543,138456,135800,16581,27155,60139,20266,71670,0.4407,51979,41.3,362487,3581,21879,43696,42180,14975,5800,25801,42468,51309,25099,16029,1055,375185,351825,23360,9001,35905,1147,3467,"Congressional District 2 (114th Congress), Connecticut",02,09,CT,CT-02-2016,55.9,42.6,48.7,45.8
347519,372974,39.0,720493,526161,95429,1472,33050,601405,51568,94317,46793,97753,32577,147105,114753,18921,34058,88203,18803,63315,0.4525,33435,40.7,365678,494,21703,39700,38252,14957,8920,25122,49281,60109,21550,13449,1120,383156,357779,25377,18343,54876,2714,4373,"Congressional District 3 (114th Congress), Connecticut",03,09,CT,CT-03-2016,62.6,36.3,55.9,40.4
356360,380382,39.7,736742,537381,95726,404,39399,551846,84805,162886,47360,132640,37201,174873,137410,15771,58757,65315,53687,89085,0.5573,22784,42.6,363848,846,22350,23597,37756,12589,10568,48851,35453,48245,20195,8679,1422,390307,361079,29228,17883,47053,3115,7721,"Congressional District 4 (114th Congress), Connecticut",04,09,CT,CT-04-2016,55.1,44.0,59.6,36.6
350222,362346,41.8,712568,580747,49044,1111,26539,581569,54810,99607,53733,101581,33754,154986,131841,17349,38027,78766,23462,68810,0.4721,35807,43.6,353222,1267,23738,42503,42621,14569,7575,27450,35933,54656,18021,13754,1015,377457,351352,26105,4875,65757,2649,13379,"Congressional District 5 (114th Congress), Connecticut",05,09,CT,CT-05-2016,53.5,45.3,49.9,45.8
458208,487726,39.7,945934,654904,203863,3121,36114,845668,47986,87509,72355,117581,31251,204200,170416,22536,46323,114360,18197,61255,0.4523,64274,40.5,447516,5106,28858,36264,54829,17915,6759,43739,43886,67886,34726,23880,1049,471586,444279,27307,34785,21476,1638,4443,"Congressional District (at Large) (114th Congress), Delaware",AL,10,DE,DE-AL-2016,58.6,40.0,53.4,41.9
319705,352523,33.8,672228,269143,318831,1661,25944,564275,53472,95117,48249,112629,41724,117838,71857,12895,36167,110500,41343,75628,0.5354,25963,34.3,361179,195,9342,5025,18086,9754,14995,22532,37583,32693,24171,58849,1417,377033,350862,26171,12653,6989,4021,2354,"Delegate District (at Large) (114th Congress), District of Columbia",98,11,DC,DC-98-2016,90.91,7.28,90.86,4.09
379933,370995,38.5,750928,578965,98282,2120,17017,690667,17691,39042,49620,91341,26234,158814,134406,14892,32242,92170,9288,51094,0.4421,102731,38.4,325496,3257,22936,14071,46707,15210,4098,25325,24289,36397,36097,24569,947,346990,321671,25319,18729,12726,3442,447,"Congressional District 1 (114th Congress), Florida",01,12,FL,FL-01-2016,30.1,68.5,28.2,67.5
361387,356786,36.5,718173,497970,179656,2603,14334,664299,21475,40026,60150,75558,23350,142212,107517,12043,21223,135062,6912,44216,0.4649,60703,37.1,309354,4566,17112,11264,40043,11876,5406,17032,33072,42948,33407,34669,892,333627,306468,27159,15057,9967,5849,645,"Congressional District 2 (114th Congress), Florida",02,12,FL,FL-02-2016,34.0,64.6,30.6,66.2
358340,362765,37.9,721105,569233,98797,2150,23880,653621,25425,52008,56283,73381,24522,149040,128304,16946,23352,126282,7345,49270,0.4621,66069,39.0,289051,7169,18818,14030,34293,13570,5005,18213,32450,49783,19747,17158,863,312131,286984,25147,17273,16856,8247,1889,"Congressional District 3 (114th Congress), Florida",03,12,FL,FL-03-2016,41.9,56.6,40.2,56.2
361872,378432,38.1,740304,560400,111259,1037,35516,650837,27315,71984,43892,109884,30573,153431,132915,19159,45856,75198,14999,57040,0.4597,67550,39.0,363284,1612,18535,26677,44487,22551,7130,44789,25526,49653,28936,15916,1066,380899,361237,19662,12177,19812,7160,1038,"Congressional District 4 (114th Congress), Florida",04,12,FL,FL-04-2016,32.8,66.1,34.1,62.1
356762,386973,34.1,743735,308372,368715,2419,18392,618384,54991,99383,84062,60275,20519,186959,90938,9213,20075,177190,3261,35116,0.4604,46766,37.9,330930,3522,21056,17356,45139,21014,6174,20102,21217,45465,41021,13742,877,366878,328896,37982,21830,47215,9055,5556,"Congressional District 5 (114th Congress), Florida",05,12,FL,FL-05-2016,63.6,35.4,61.3,35.9
367851,388130,46.9,755981,640474,72872,2482,17370,679555,24437,57621,46574,105938,25245,140992,146219,17341,38215,113061,14026,47713,0.5025,74149,43.3,305277,2932,20785,21888,39399,13510,5672,26058,27168,38277,30141,14088,970,326615,304705,21910,17764,24186,4407,587,"Congressional District 6 (114th Congress), Florida",06,12,FL,FL-06-2016,46.6,52.2,39.9,56.9
361408,376959,38.7,738367,595784,75365,1179,26603,603744,32405,85590,33986,118338,28376,147758,130863,18196,49050,88486,14283,54667,0.4673,47743,41.0,353000,628,21352,18290,42528,15190,8875,37620,31244,49441,29744,10311,1114,375658,351298,24360,17945,84018,11517,6276,"Congressional District 7 (114th Congress), Florida",07,12,FL,FL-07-2016,49.4,49.4,51.4,44.1
354547,376199,48.3,730746,614485,70812,2204,15368,646759,26591,62992,46861,89222,25814,133030,136398,17122,32133,94476,10315,50070,0.4640,80243,43.6,302037,3311,21048,25554,40799,12203,5018,15828,23454,43451,27192,14639,965,323510,301522,21988,18627,25289,9439,1322,"Congressional District 8 (114th Congress), Florida",08,12,FL,FL-08-2016,42.1,56.6,37.7,58.4
401025,418651,35.5,819676,601994,94057,2001,34356,500917,80889,173116,67959,93651,22736,199314,131801,18248,34586,142852,5455,47075,0.4321,43621,38.8,382399,1052,22963,16168,53000,23393,6375,19682,29742,40921,52802,14224,1105,407092,382250,24842,22993,234827,28686,24417,"Congressional District 9 (114th Congress), Florida",09,12,FL,FL-09-2016,55.6,43.4,54.8,41.9
387737,400455,39.9,788192,593355,98446,1613,34502,629207,58104,114108,57118,112735,26795,170491,145970,18058,47834,101830,15456,53473,0.4801,57151,39.8,363243,2412,23652,17646,41032,15057,6932,29026,23247,44269,44374,11281,1070,384699,362879,21820,31457,60394,11140,10472,"Congressional District 10 (114th Congress), Florida",10,12,FL,FL-10-2016,60.7,38.4,61.8,34.9
359815,381092,53.5,740907,646528,60233,1558,10560,673637,15274,47259,63403,77331,23048,118538,148044,14021,26343,113130,5604,42548,0.4441,89409,43.7,233160,4706,15397,14186,35360,12536,3278,16232,16846,35779,20074,11088,803,256817,232887,23930,16418,34368,6359,1534,"Congressional District 11 (114th Congress), Florida",11,12,FL,FL-11-2016,39.8,59.2,32.5,64.8
359929,387850,45.0,747779,657150,39321,3079,21358,652971,30335,78122,50614,99759,26860,154488,146458,18351,41515,90934,13817,51402,0.4674,66122,43.4,323466,1641,22834,16444,42133,15604,7459,30615,26980,45912,24647,11539,1009,345124,323241,21883,15018,34522,15903,6078,"Congressional District 12 (114th Congress), Florida",12,12,FL,FL-12-2016,45.5,53.0,38.8,57.4
345113,371316,48.3,716429,621423,39078,2321,27970,608587,44173,93566,50098,103939,26714,116024,122087,15839,36178,94072,13351,47579,0.4921,67451,43.7,339968,1120,20923,24996,47727,11597,7237,32994,22863,44889,27368,10800,975,357097,338412,18685,24735,20239,9128,1777,"Congressional District 13 (114th Congress), Florida",13,12,FL,FL-13-2016,54.6,43.9,49.6,46.4
370956,394421,36.1,765377,474125,202068,2979,18855,591867,73755,133953,74296,95250,24464,171316,96777,13844,35651,153447,11235,42654,0.4967,46259,38.6,361177,2570,26456,16247,39672,19028,8070,34294,30497,51111,31126,12972,959,391774,359135,32639,38089,60311,70717,8495,"Congressional District 14 (114th Congress), Florida",14,12,FL,FL-14-2016,57.6,41.2,57.2,39.0
356720,371736,37.7,728456,551041,95083,1472,33178,616330,42995,87670,57247,94532,26852,165585,131233,15316,33505,103737,10081,51598,0.4451,54825,40.1,330920,6177,24625,17190,46708,13709,6493,31924,31107,41369,22392,15579,931,352478,329231,23247,43925,38091,18169,6664,"Congressional District 15 (114th Congress), Florida",15,12,FL,FL-15-2016,46.6,52.2,43.1,53.1
365412,399396,51.9,764808,681130,53291,592,13290,661138,43156,91244,54609,110827,27569,128867,155935,18607,40196,89085,15000,53624,0.4677,74096,44.5,304756,1674,24370,21122,40278,10676,3957,22913,17655,48653,30322,10431,1056,325064,304264,20800,44047,19055,9150,1434,"Congressional District 16 (114th Congress), Florida",16,12,FL,FL-16-2016,45.1,53.7,43.0,53.7
372421,375227,47.8,747648,617462,73127,2269,9478,643034,46788,87072,84289,64642,22971,144256,149645,12628,22723,114464,7228,44088,0.4577,71006,43.1,277255,15611,21747,15696,41334,16354,3768,19616,20185,35733,20826,10176,882,297843,275991,21852,68186,26905,14114,4367,"Congressional District 17 (114th Congress), Florida",17,12,FL,FL-17-2016,41.3,57.6,35.0,62.2
363080,384948,46.9,748028,599554,98076,2896,19556,619144,52575,116162,61026,107642,28079,141667,146574,17825,42201,90116,18891,55117,0.5062,58493,43.4,329870,3516,28217,13952,39312,12907,5871,23608,23228,44657,32235,13713,1118,349234,329392,19842,26880,22657,15496,5325,"Congressional District 18 (114th Congress), Florida",18,12,FL,FL-18-2016,47.7,51.4,44.1,53.3
377571,396775,50.3,774346,670977,61935,485,12449,624446,74995,133848,69516,110261,26838,130805,158368,19682,42334,114797,19239,53878,0.5173,68913,42.4,309473,2501,33444,12777,47574,11134,5804,26203,19024,38884,31249,8623,1059,327731,307137,20594,50061,30477,29100,5127,"Congressional District 19 (114th Congress), Florida",19,12,FL,FL-19-2016,38.7,60.5,37.5,59.6
374896,392870,36.8,767766,297989,412471,2110,14656,482614,135585,267483,105455,70187,20801,175198,90296,9847,31398,170534,2963,39569,0.4371,28540,39.0,348428,4724,26573,14570,53972,18280,6741,19893,23299,48428,37306,12321,1095,392032,346353,45679,33104,27953,21287,8564,"Congressional District 20 (114th Congress), Florida",20,12,FL,FL-20-2016,82.5,17.1,80.2,18.1
359590,398602,43.7,758192,586580,103698,1311,22757,542778,86809,194200,42909,129444,30521,161890,146611,19711,59513,73002,20505,61409,0.4778,42873,42.9,349825,2187,21862,16917,49942,14340,8081,30192,27897,46172,26269,12738,1370,374584,349772,24812,29513,29937,24711,10875,"Congressional District 21 (114th Congress), Florida",21,12,FL,FL-21-2016,60.4,38.9,58.6,39.1
360301,370001,46.1,730302,581635,83628,1114,17016,521109,93156,189954,57917,136339,30482,121909,122611,19444,58926,96487,23518,56090,0.5245,44860,42.4,360736,1900,29415,13950,44516,16092,7447,33796,24586,42779,36020,11177,1322,383582,359243,24339,20188,25913,40508,8218,"Congressional District 22 (114th Congress), Florida",22,12,FL,FL-22-2016,56.3,43.0,56.8,41.0
359079,375872,41.7,734951,554927,86316,1403,29234,423172,124095,284322,49491,128869,28037,146232,122363,19672,60873,87091,23753,56643,0.5408,26173,42.7,381506,2967,22532,17708,47376,21291,9439,35960,30995,42748,34996,12561,1324,404077,380924,23153,13792,38616,64792,15234,"Congressional District 23 (114th Congress), Florida",23,12,FL,FL-23-2016,61.4,38.0,61.9,35.8
356253,389609,36.5,745862,279976,411387,576,14347,415946,132973,304032,107228,69731,21103,166494,79984,16118,30850,176502,6498,38016,0.5169,15699,39.4,335131,1189,20111,12541,41564,26469,7904,21323,23894,46743,37093,16697,1068,368663,334247,34416,7185,33578,66535,21207,"Congressional District 24 (114th Congress), Florida",24,12,FL,FL-24-2016,85.7,13.9,82.9,15.4
