CD,Year,Target_Presidential_D,Target_Presidential_R,Previous_Presidential_D,Previous_Presidential_R
DC-98,2016,90.86,4.09,90.91,7.28
AK-AL,2016,37.6,52.8,41.2,55.3
AL-01,2016,34.1,63.5,37.4,61.8
AL-02,2016,33,64.9,36.4,62.9
AL-03,2016,32.3,65.3,36.8,62.3
AL-04,2016,17.4,80.4,24,74.8
AL-05,2016,31.3,64.7,34.9,63.9
AL-06,2016,26.1,70.8,24.7,74.3
AL-07,2016,69.8,28.6,72.4,27.1
AR-01,2016,30.2,65,36.3,61
AR-02,2016,41.7,52.4,42.9,54.7
AR-03,2016,30.5,61.9,31.6,65.5
AR-04,2016,31.3,64.2,35.9,61.8
AZ-01,2016,46.6,47.7,47.9,50.4
AZ-02,2016,49.6,44.7,48.4,49.9
AZ-03,2016,62.4,32.5,61.4,36.9
AZ-04,2016,27.5,67.7,31,67.2
AZ-05,2016,36.5,57.6,34.6,63.8
AZ-06,2016,42.4,52.4,38.8,59.5
AZ-07,2016,71.8,22.6,71.7,26.5
AZ-08,2016,37,58.1,36.9,61.7
AZ-09,2016,54.7,38.4,51.1,46.6
CA-01,2016,36.5,56.2,40.3,56.6
CA-02,2016,69,23.3,69,27
CA-03,2016,53,40.4,54.3,43.1
CA-04,2016,39.3,54,39.5,57.9
CA-05,2016,69.2,24.3,69.7,27.5
CA-06,2016,69.2,24.4,69.1,28.3
CA-07,2016,52.3,40.9,50.8,46.8
CA-08,2016,39.6,54.7,41.7,55.6
CA-09,2016,56.6,38,57.8,40.1
CA-10,2016,48.5,45.5,50.6,47
CA-11,2016,71.5,22.7,67.6,30
CA-12,2016,86.2,8.7,84.1,12.5
CA-13,2016,87.4,6.8,87.5,9
CA-14,2016,76.9,18.2,74.2,23.6
CA-15,2016,69.9,24.2,68,29.8
CA-16,2016,58,36.4,58.6,39.4
CA-17,2016,73.9,20.5,71.9,25.5
CA-18,2016,73.4,20.2,68.2,28.9
CA-19,2016,72.9,21.5,71.2,26.5
CA-20,2016,70.4,23.2,70.9,26.2
CA-21,2016,55.2,39.7,54.6,43.5
CA-22,2016,42.6,52.1,41.6,56.6
CA-23,2016,36.1,58.1,36.1,61.5
CA-24,2016,56.7,36.5,54.1,43.1
CA-25,2016,50.3,43.6,47.9,49.7
CA-26,2016,57.9,36,54,43.7
CA-27,2016,66,28.4,62.6,35
CA-28,2016,72.1,22.3,70.3,26.5
CA-29,2016,77.7,16.8,77,20.5
CA-30,2016,69.1,25.7,65.3,32.1
CA-31,2016,57.7,36.6,57.2,40.6
CA-32,2016,66.6,27.7,65.2,32.5
CA-33,2016,67.8,26.5,60.6,36.8
CA-34,2016,83.6,10.7,83,14.1
CA-35,2016,67.7,26.9,67.4,30.6
CA-36,2016,52.2,43.4,50.7,47.5
CA-37,2016,85.7,9.6,84.9,12.7
CA-38,2016,67,27.4,64.9,33
CA-39,2016,51.5,42.9,47.1,50.8
CA-40,2016,82.2,12.8,81.5,16.5
CA-41,2016,61,33.1,61.5,36.3
CA-42,2016,41.4,53.4,41.4,56.5
CA-43,2016,78.4,16.7,78,20
CA-44,2016,83,12.3,84.7,13.6
CA-45,2016,49.8,44.4,43,54.8
CA-46,2016,66.3,27.9,61.4,36.2
CA-47,2016,62.6,31,60,37.5
CA-48,2016,47.9,46.2,43,54.7
CA-49,2016,50.7,43.2,45.7,52.2
CA-50,2016,39.6,54.6,37.6,60.4
CA-51,2016,71.8,22.8,69.4,28.9
CA-52,2016,58.1,35.6,52.1,45.7
CA-53,2016,64.5,29.6,61.4,36.4
CO-01,2016,69,23.2,69,28.8
CO-02,2016,56.2,34.9,57.9,39.5
CO-03,2016,40,52,45.8,51.8
CO-04,2016,34.3,57.4,39.2,58.5
CO-05,2016,33.2,57.2,38.3,59.1
CO-06,2016,50.2,41.3,51.6,46.5
CO-07,2016,51.4,39.4,56.1,41.3
CT-01,2016,59.4,36.3,63.3,35.6
CT-02,2016,48.7,45.8,55.9,42.6
CT-03,2016,55.9,40.4,62.6,36.3
CT-04,2016,59.6,36.6,55.1,44
CT-05,2016,49.9,45.8,53.5,45.3
DE-AL,2016,53.4,41.9,58.6,40
FL-01,2016,28.2,67.5,30.1,68.5
FL-02,2016,30.6,66.2,34,64.6
FL-03,2016,40.2,56.2,41.9,56.6
FL-04,2016,34.1,62.1,32.8,66.1
FL-05,2016,61.3,35.9,63.6,35.4
FL-06,2016,39.9,56.9,46.6,52.2
FL-07,2016,51.4,44.1,49.4,49.4
FL-08,2016,37.7,58.4,42.1,56.6
FL-09,2016,54.8,41.9,55.6,43.4
FL-10,2016,61.8,34.9,60.7,38.4
FL-11,2016,32.5,64.8,39.8,59.2
FL-12,2016,38.8,57.4,45.5,53
FL-13,2016,49.6,46.4,54.6,43.9
FL-14,2016,57.2,39,57.6,41.2
FL-15,2016,43.1,53.1,46.6,52.2
FL-16,2016,43,53.7,45.1,53.7
FL-17,2016,35,62.2,41.3,57.6
FL-18,2016,44.1,53.3,47.7,51.4
FL-19,2016,37.5,59.6,38.7,60.5
FL-20,2016,80.2,18.1,82.5,17.1
FL-21,2016,58.6,39.1,60.4,38.9
FL-22,2016,56.8,41,56.3,43
FL-23,2016,61.9,35.8,61.4,38
FL-24,2016,82.9,15.4,85.7,13.9
FL-25,2016,47.9,49.7,44.9,54.5
FL-26,2016,56.8,40.5,55.4,43.9
FL-27,2016,58.5,38.9,53,46.3
GA-01,2016,40.9,56.4,43,55.9
GA-02,2016,55,43.3,58.6,40.8
GA-03,2016,32.8,64.3,33,65.9
GA-04,2016,75.3,22.2,73.6,25.6
GA-05,2016,85,11.9,83.1,15.8
GA-06,2016,46.8,48.3,37.5,60.8
GA-07,2016,44.8,51.1,38.3,60.2
GA-08,2016,34.4,63.3,37.5,61.6
GA-09,2016,19.3,77.8,20.5,78.1
GA-10,2016,35.8,61.3,36.3,62.5
GA-11,2016,35.3,60.3,31.5,66.9
GA-12,2016,40.7,56.9,43.6,55.4
GA-13,2016,71,26.6,69.2,30
GA-14,2016,22.1,75,25.3,73.2
HI-01,2016,63.1,30.5,69.7,29
HI-02,2016,61.4,29.6,71.4,26.7
IA-01,2016,45.2,48.7,56.2,42.5
IA-02,2016,45,49.1,55.8,42.7
IA-03,2016,45,48.5,51.4,47.2
IA-04,2016,33.5,60.9,45.3,53.4
ID-01,2016,25.4,63.7,32.2,64.9
ID-02,2016,29.8,54.5,33.1,64.1
IL-01,2016,75.4,21.4,78.9,20.2
IL-02,2016,78,19.1,80.7,18.5
IL-03,2016,55.2,39.9,55.9,42.6
IL-04,2016,82.1,13.2,80.9,17.1
IL-05,2016,70.5,23.9,66,31.8
IL-06,2016,50.2,43.2,45.1,53.3
IL-07,2016,87.4,9.2,87.2,11.8
IL-08,2016,58.1,36.4,57.4,40.9
IL-09,2016,70.1,24.9,65,33.3
IL-10,2016,62,32.6,57.5,41.1
IL-11,2016,58.9,35.4,57.8,40.6
IL-12,2016,40.2,55,49.7,48.1
IL-13,2016,44.2,49.7,48.6,48.9
IL-14,2016,44.8,48.7,44.2,54.2
IL-15,2016,24.5,70.7,34.1,63.9
IL-16,2016,38.3,55.5,45.2,52.9
IL-17,2016,46.7,47.4,57.6,40.6
IL-18,2016,33.3,60.6,37.4,60.7
IN-01,2016,54.1,41.5,61.2,37.4
IN-02,2016,36.1,59.3,42.1,56.1
IN-03,2016,30.1,65.1,35.7,62.5
IN-04,2016,30.2,64.3,36.9,60.9
IN-05,2016,41.3,53.1,40.7,57.5
IN-06,2016,27.4,67.7,37.3,60.4
IN-07,2016,59,36.2,62.9,35.3
IN-08,2016,30.9,64.6,39.6,58.4
IN-09,2016,34.2,61.1,40.7,57.2
KS-01,2016,24.3,69.3,27.6,70.1
KS-02,2016,37.4,55.8,42.2,55.4
KS-03,2016,47.2,46,44.3,53.8
KS-04,2016,33,60.2,36.1,61.6
KY-01,2016,23.9,72.4,32.1,66.4
KY-02,2016,27.6,67.5,35.1,63.3
KY-03,2016,54.9,39.9,55.7,42.8
KY-04,2016,29.3,65.2,34.8,63.4
KY-05,2016,17.5,79.6,23.2,75
KY-06,2016,39.4,54.7,42.2,55.8
LA-01,2016,26.7,68.7,26.9,70.9
LA-02,2016,74.6,22.2,75.8,22.8
LA-03,2016,29.2,67.3,32.3,66.1
LA-04,2016,36.6,60.6,39.7,59
LA-05,2016,34.1,63.5,37.7,61
LA-06,2016,31,64.8,32,66.1
MA-01,2016,57.2,36.5,64,34.3
MA-02,2016,56.2,36.8,58.7,39.2
MA-03,2016,58.2,35.4,56.9,41.4
MA-04,2016,59.2,35,57.2,41.3
MA-05,2016,69.3,25.7,65.2,33.1
MA-06,2016,56.1,38.2,54.7,43.9
MA-07,2016,84.1,11.9,82.5,15.6
MA-08,2016,60.4,34.4,57.8,40.8
MA-09,2016,52.5,41.8,55.5,43.1
MD-01,2016,33.4,62,37.7,60.4
MD-02,2016,60.1,35.7,63.1,35
MD-03,2016,62.8,32.3,60.7,37.1
MD-04,2016,77.2,19.7,78.1,20.8
MD-05,2016,64.1,32.1,66.1,32.4
MD-06,2016,55.3,40.2,55.2,42.8
MD-07,2016,75.8,20.2,76.2,22.3
MD-08,2016,65,30.6,62,36
ME-01,2016,54.1,39.3,59.6,38.2
ME-02,2016,41.1,51.4,53,44.4
MI-01,2016,36.6,57.9,45.3,53.6
MI-02,2016,38.2,55.8,43.1,56
MI-03,2016,42.2,51.6,45.8,53.1
MI-04,2016,34.7,59.5,45.5,53.5
MI-05,2016,49.7,45.5,60.7,38.3
MI-06,2016,42.9,51.3,48.8,50.2
MI-07,2016,38.7,55.7,47.9,51
MI-08,2016,43.9,50.6,48,51.1
MI-09,2016,51.5,43.7,57.2,41.9
MI-10,2016,31.6,63.8,43.7,55.3
MI-11,2016,45.3,49.7,46.9,52.3
MI-12,2016,60.8,34.5,66.2,32.8
MI-13,2016,78.8,18.1,85.2,14.3
MI-14,2016,79.2,18.3,81,18.6
MN-01,2016,38.4,53.3,49.6,48.2
MN-02,2016,45.3,46.5,49.1,49
MN-03,2016,50.8,41.4,49.6,48.8
MN-04,2016,61.5,30.6,62.5,35.5
MN-05,2016,73.7,18.5,73.5,24
MN-06,2016,33.2,58.9,41.5,56.5
MN-07,2016,31,61.8,44.1,53.9
MN-08,2016,38.6,54.2,51.7,46.2
MO-01,2016,77,18.8,79.9,18.9
MO-02,2016,42.3,52.6,41.4,57.1
MO-03,2016,28.1,67.1,36.1,62
MO-04,2016,29.3,65.3,36.4,61.2
MO-05,2016,54.1,40.6,58.9,39.4
MO-06,2016,31.7,63.1,37.9,60
MO-07,2016,24.7,70.4,30.3,67.6
MO-08,2016,21,75.4,32,65.9
MS-01,2016,32.4,65.4,37,61.9
MS-02,2016,63.6,35.1,66.4,33
MS-03,2016,36.8,61.3,39.1,60
MS-04,2016,28.2,69.4,31.2,67.6
MT-AL,2016,35.9,56.5,41.7,55.4
NC-01,2016,67.5,30.5,68.1,31.2
NC-02,2016,43.6,53.2,43,56
NC-03,2016,36.9,60.5,40.6,58.5
NC-04,2016,68.2,28.2,64.5,34.2
NC-05,2016,39.8,57.4,42.3,56.5
NC-06,2016,41.4,56.1,43.2,55.9
NC-07,2016,39.9,57.6,43.2,55.9
NC-08,2016,41.1,56.1,44.4,54.7
NC-09,2016,42.8,54.4,43.8,55.4
NC-10,2016,36.4,61,40.4,58.5
NC-11,2016,34,63.2,39.1,59.6
NC-12,2016,68.4,28.4,67.8,31.3
NC-13,2016,44,53.4,46.1,52.9
ND-AL,2016,27.7,64.1,38.9,58.7
NE-01,2016,36.2,57.5,40.8,57.5
NE-02,2016,46,48.2,45.7,52.8
NE-03,2016,20,74.9,27.8,70.2
NH-01,2016,46.6,48.2,50.2,48.6
NH-02,2016,48.6,46.2,54.2,44.5
NJ-01,2016,60.6,36.1,65.1,33.8
NJ-02,2016,46,50.6,53.5,45.4
NJ-03,2016,45.2,51.4,51.8,47.2
NJ-04,2016,41,55.8,44.7,54.2
NJ-05,2016,47.7,48.8,47.9,50.9
NJ-06,2016,56.2,40.6,61.4,37.4
NJ-07,2016,48.6,47.5,46.3,52.5
NJ-08,2016,75.7,21.5,78.3,20.8
NJ-09,2016,64.3,33.1,68.4,30.8
NJ-10,2016,85.2,12.8,87.9,11.5
NJ-11,2016,47.9,48.8,46.6,52.4
NJ-12,2016,65,31.8,66.5,32.4
NM-01,2016,51.6,35.1,55.3,39.6
NM-02,2016,39.9,50.1,44.9,51.7
NM-03,2016,51.8,36.7,57.5,38.7
NV-01,2016,61.6,32.6,65.6,32.4
NV-02,2016,39.7,52,44.8,52.9
NV-03,2016,46.5,47.5,49.5,48.7
NV-04,2016,49.5,44.6,54.4,43.7
NY-01,2016,42.2,54.5,49.6,49.1
NY-02,2016,43.9,53,51.6,47.2
NY-03,2016,51.6,45.5,50.8,48.2
NY-04,2016,53.4,43.8,56.3,42.8
NY-05,2016,85.7,12.7,90.6,9.1
NY-06,2016,65.1,32.1,67.8,31
NY-07,2016,86.9,10.4,88.4,10.3
NY-08,2016,84.6,13.5,89.3,10.1
NY-09,2016,83.5,14.4,85.3,13.8
NY-10,2016,78.3,18.8,73.6,25
NY-11,2016,43.8,53.6,51.6,47.3
NY-12,2016,83.3,13.5,76.9,21.5
NY-13,2016,92.3,5.4,94.6,4.6
NY-14,2016,77.7,19.8,80.7,18.3
NY-15,2016,93.8,4.9,96.7,3
NY-16,2016,75.1,22.5,73.7,25.5
NY-17,2016,58.6,38.4,57.1,41.8
NY-18,2016,47.1,49,51.4,47.1
NY-19,2016,44,50.8,52.1,45.9
NY-20,2016,54,40.5,59.2,38.8
NY-21,2016,40,53.9,52.2,46.1
NY-22,2016,39.3,54.8,48.8,49.2
NY-23,2016,39.7,54.5,48.4,49.6
NY-24,2016,48.9,45.3,57,41.1
NY-25,2016,55.5,39.1,58.8,39.4
NY-26,2016,57.6,38,63.9,34.3
NY-27,2016,35.2,59.7,42.9,55.3
OH-01,2016,44.6,51.2,46.3,52.4
OH-02,2016,39.7,55.8,43.7,54.7
OH-03,2016,67,28.6,69.7,28.9
OH-04,2016,30.7,64.3,42,56
OH-05,2016,34.6,59.7,44.1,53.9
OH-06,2016,26.7,69.3,42.7,55.2
OH-07,2016,32.8,62.5,44.2,53.7
OH-08,2016,30.6,65.1,36.4,61.9
OH-09,2016,58.7,36.5,67.6,30.9
OH-10,2016,44,51.3,48.2,50.1
OH-11,2016,80.5,17,82.7,16.5
OH-12,2016,41.9,53.2,43.9,54.4
OH-13,2016,51.1,44.6,62.9,35.4
OH-14,2016,42.1,53.6,47.6,50.9
OH-15,2016,39.9,55.3,46.3,51.9
OH-16,2016,39.5,56.2,45.2,53.4
OK-01,2016,32.7,61.4,34.2,65.8
OK-02,2016,22.8,72.9,32.2,67.8
OK-03,2016,20.9,73.6,26.1,73.9
OK-04,2016,28.3,65.7,32.9,67.1
OK-05,2016,39.8,53.2,40.8,59.2
OR-01,2016,57.3,34.5,57.3,40
OR-02,2016,36.4,56.5,40.5,56.8
OR-03,2016,70.7,22.5,72,24.7
OR-04,2016,46.1,46,51.7,45
OR-05,2016,48.3,44.1,50.5,47.1
PA-01,2016,49.1,47.1,50.2,48.6
PA-02,2016,72.9,24.9,77.4,21.8
PA-03,2016,90.9,7,91.7,7.6
PA-04,2016,57.8,38.5,56.1,42.8
PA-05,2016,62.6,34.4,63.4,35.7
PA-06,2016,52.6,43.3,51,47.8
PA-07,2016,48.7,47.6,52.9,45.9
PA-08,2016,43.7,53.3,55.3,43.4
PA-09,2016,31,65,41.2,57.2
PA-10,2016,43.4,52.3,46,52.6
PA-11,2016,34.7,60.5,38,60.5
PA-12,2016,29.7,66.1,36.8,61.5
PA-13,2016,25.5,71.2,32.1,66.6
PA-14,2016,33.9,62.9,40.6,58.3
PA-15,2016,26.5,69.8,35.7,62.6
PA-16,2016,37.9,57.9,46.9,51.7
PA-17,2016,46.8,49.4,47.2,51.7
PA-18,2016,62.1,34.6,63.5,35.2
RI-01,2016,60.5,34.9,66.2,32.2
RI-02,2016,51.1,44,59.8,38.3
SC-01,2016,40.4,53.5,40.2,58.3
SC-02,2016,38.6,56.3,39.4,59.1
SC-03,2016,29,67,33.9,64.5
SC-04,2016,34.5,60.2,36.2,62.2
SC-05,2016,38.8,57.3,43.6,55.1
SC-06,2016,66.8,30.3,70.9,28.1
SC-07,2016,39.1,58,44.4,54.5
SD-AL,2016,31.7,61.5,39.9,57.9
TN-01,2016,19.7,76.7,25.7,72.7
TN-02,2016,29.7,65.1,30.9,67.3
TN-03,2016,30.2,65.4,35.1,63.3
TN-04,2016,27.4,68.6,33.1,65.3
TN-05,2016,56.5,38.2,55.9,42.5
TN-06,2016,23.7,72.6,29.5,69.1
TN-07,2016,28.2,67.5,32.9,65.7
TN-08,2016,30.7,66.3,32.9,66.1
TN-09,2016,77.5,19.8,78.4,20.9
TX-01,2016,25.3,72.2,27.5,71.6
TX-02,2016,43.1,52.4,35.6,62.9
TX-03,2016,40.6,54.8,34.2,64.3
TX-04,2016,21.8,75.4,24.8,74
TX-05,2016,34.3,62.7,34.4,64.5
TX-06,2016,41.9,54.2,40.8,57.9
TX-07,2016,48.5,47.1,38.6,59.9
TX-08,2016,23.9,72.7,21.7,77
TX-09,2016,79.3,18,78,21.1
TX-10,2016,43.2,52.3,38.8,59.1
TX-11,2016,19.1,77.8,19.6,79.2
TX-12,2016,32.7,62.9,31.7,66.8
TX-13,2016,16.9,79.9,18.5,80.2
TX-14,2016,38.4,58.2,39.5,59.3
TX-15,2016,56.7,40,57.4,41.5
TX-16,2016,67.9,27.2,64.2,34.5
TX-17,2016,38.8,56.3,37.7,60.4
TX-18,2016,76.5,20,76.1,22.8
TX-19,2016,23.5,72.5,25,73.6
TX-20,2016,61,34.3,58.9,39.7
