,B01001_002E,B01001_026E,B01002_001E,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B03002_012E,B05001_002E,B05001_006E,B05012_003E,B06009_002E,B06009_005E,B06011_001E,B09001_001E,B11001_003E,B15012_009E,B15012_010E,B17001_002E,B19001_017E,B19013_001E,B19083_001E,B21001_002E,B23013_001E,B24050_001E,B24050_002E,B24050_005E,B24050_006E,B24050_008E,B24050_009E,B24050_012E,B24050_013E,B24050_021E,B24050_022E,B24050_025E,B24050_027E,B25031_001E,B28007_002E,B28007_003E,B28007_009E,C03001_004E,C03001_005E,C03001_006E,C03001_007E,District_Name,CD,State_Id,State,CD_Id,Incumbent_Rep_Party,Clinton_2016,Trump_2016,Obama_2012,Romney_2012,Obama_2008,McCain_2008,State_AB
0,368300,393478,40.0,761778,506183,91797,2908,74832,114074,563902,91390,183796,49781,133752,42293,169491,150035,23180,45870,59403,47162,95314,0.4704,35188,42.2,409051,1927,26683,14530,31076,11727,11334,26345,41536,47765,27220,46484,1622,427605,408019,19586,12508,6255,3075,3586,"Congressional District 8 (114th Congress), Maryland",08,24,MD,MD-08,D,65.0,30.6,62.0,36.0,62.8,35.6,MD
1,354793,381397,41.0,736190,626968,46172,1892,14655,128957,628329,26282,57114,60715,87258,26621,153349,123421,16395,26239,106391,12500,53918,0.4663,45064,41.8,354532,2971,16531,39349,44817,15137,6830,25056,40349,65798,24188,13941,868,372081,346235,25846,6888,101720,841,6319,"Congressional District 1 (114th Congress), Massachusetts",01,25,MA,MA-01,D,57.2,36.5,64.0,34.3,64.1,33.7,MA
2,363964,380922,39.1,744886,625647,39694,1766,39563,69120,636772,42849,84776,49240,105556,29572,149859,126550,16436,32302,97084,18846,62448,0.4674,42944,40.6,376154,2107,18137,41496,44506,14224,8010,22773,55213,63108,26636,12590,1013,387973,363332,24641,4352,38990,1190,6888,"Congressional District 2 (114th Congress), Massachusetts",02,25,MA,MA-02,D,56.2,36.8,58.7,39.2,60.4,37.5,MA
3,372202,381866,39.0,754068,587198,25736,1391,65457,142894,591232,65727,131171,57889,107278,32062,174471,133841,15685,37310,83115,25763,72570,0.4625,37037,42.2,380104,1216,21457,53462,36675,12074,10411,19283,38894,57824,27290,13154,1085,400927,377752,23175,8712,61172,693,49478,"Congressional District 3 (114th Congress), Massachusetts",03,25,MA,MA-03,D,58.2,35.4,56.9,41.4,58.8,39.4,MA
4,364844,385487,40.9,750331,652907,21406,256,44196,35802,641348,41678,97597,36579,132924,40327,171170,149677,19899,48281,50328,43593,90913,0.4813,31741,42.7,384820,590,20123,35095,38482,13595,9701,35205,46855,64504,18434,12607,1221,399110,377922,21188,4714,11763,2405,3068,"Congressional District 4 (114th Congress), Massachusetts",04,25,MA,MA-04,D,59.2,35.0,57.2,41.3,60.4,37.9,MA
5,369981,395941,39.5,765922,598090,37888,1610,83781,63359,572310,87035,180644,37294,145372,41066,151822,149400,22735,52492,57461,46638,86183,0.4794,26436,40.2,420772,674,21504,32591,35314,13358,14328,32068,59621,64061,26594,13422,1472,425830,409130,16700,7031,13410,1860,2510,"Congressional District 5 (114th Congress), Massachusetts",05,25,MA,MA-05,D,69.3,25.7,65.2,33.1,66.2,32.1,MA
6,368484,392682,42.1,761166,649968,25920,1151,31281,65669,656364,42756,93842,39927,132535,35796,160418,150225,21365,47384,63016,33976,80638,0.4641,40223,42.4,396996,821,23646,38574,42037,12491,9515,28170,40258,61578,28295,15899,1195,412608,392467,20141,3094,11921,637,25237,"Congressional District 6 (114th Congress), Massachusetts",06,25,MA,MA-06,D,56.1,38.2,54.7,43.9,56.9,41.4,MA
7,376951,400637,31.7,777588,389836,206372,1226,78533,170301,499810,133469,251668,83049,117449,28628,130667,81630,18205,40288,137743,21983,56719,0.5256,19725,32.4,431279,483,16939,22850,38760,17021,10842,31116,60628,74883,41100,13330,1411,438454,410738,27716,8687,44132,2344,30231,"Congressional District 7 (114th Congress), Massachusetts",07,25,MA,MA-07,D,84.1,11.9,82.5,15.6,81.9,16.7,MA
8,368018,396771,39.0,764789,589801,73099,429,60240,44948,624536,52946,128374,40519,149674,37973,154072,131073,20644,59021,79416,31963,79789,0.4711,34142,39.6,414702,1208,21180,25302,43967,18210,9543,42470,41422,70985,28305,16685,1329,435859,411602,24257,3886,14558,1734,6282,"Congressional District 8 (114th Congress), Massachusetts",08,25,MA,MA-08,D,60.4,34.4,57.8,40.8,57.9,40.5,MA
9,358147,381335,45.6,739482,652823,23070,942,13033,36898,656981,30446,70767,54137,108669,30664,141366,142897,18145,35040,77517,20251,63532,0.4767,50678,43.7,362844,3513,31161,28498,50011,13732,5745,23847,27942,56870,30107,16904,927,384982,360023,24959,3222,19476,241,2851,"Congressional District 9 (114th Congress), Massachusetts",09,25,MA,MA-09,D,52.5,41.8,55.5,43.1,57.8,40.6,MA
